date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:23	178528/178528	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-2b960%22	https://new.axilthemes.com/demo/template/etrade/index-3.html	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/index-3.html	(from )
20:23:24	22/22	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2014:23:24%20GMT	https://new.axilthemes.com/robots.txt		(from )
20:23:24	1691/1691	---M--	200	added ('OK')	image/png	etag:%2263232315-69b%22	https://new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:25	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%22645b7bdf-2f955%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:26	156666/156666	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd2c82-263fa%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:26	3875/3875	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-f23%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:26	1749/1749	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-6d5%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:26	3166/3166	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-c5e%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:27	17598/17598	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd2c82-44be%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
20:23:27	7509/7509	---M--	200	added ('OK')	text/css	etag:%226229c8c2-1d55%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	C:/Users/user/Desktop/BASIS-SEIP-BACTH-17/e-2/new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	(from https://new.axilthemes.com/demo/template/etrade/index-3.html)
